2018-11-20 00:21:32.390 [THREAD    1] [DEBUG] Illumina.SpaceDock.SpaceDock                       Configuring Job: {"ReferenceId":"use1-prod:138144045","DockerImageId":"akorobeynikov/spades_test","DockerUserName":"","DockerPassword":"","AccessToken":"[hidden]","ApiUrl":"https://api.basespace.illumina.com","CommandLine":["/home/apps/spades/bin/spades.py","--basespace","/data/input/AppSession.json"],"Options":["LaunchMode=SpotThenOnDemand","bsfs.genomesjsonurl=https://s3.amazonaws.com/use1-prd-seq-hub-appdata/use1-genomes.json"],"IsTimedOut":false}
2018-11-20 00:21:33.010 [THREAD Threadpool worker] [DEBUG] Illumina.SpaceDock.AppSessionDirectories           Created /media/ebs/agentdata/use1-prod_138144045_b0833afe1a54455d8c9ad732524cbd7b/data/output/samples
2018-11-20 00:21:33.014 [THREAD Threadpool worker] [DEBUG] Illumina.SpaceDock.AppSessionDirectories           Created /media/ebs/agentdata/use1-prod_138144045_b0833afe1a54455d8c9ad732524cbd7b/genomes
2018-11-20 00:21:33.030 [THREAD Threadpool worker] [DEBUG] Illumina.SpaceDock.JobExecutorLogic                AppSessionFilePath: /media/ebs/agentdata/use1-prod_138144045_b0833afe1a54455d8c9ad732524cbd7b/data/input/AppSession.json
2018-11-20 00:21:33.030 [THREAD Threadpool worker] [DEBUG] Illumina.SpaceDock.Core.BaseSpaceLogic             Creating json file for appsession 138144045
2018-11-20 00:21:33.031 [THREAD Threadpool worker] [DEBUG] Illumina.BaseSpace.SDK.PrivateBaseSpaceClient      GET:v1pre3/appsessions/138144045
2018-11-20 00:21:33.031 [THREAD Threadpool worker] [INFO ] Illumina.BaseSpace.SDK.PrivateBaseSpaceClient      operation starting: GET:v1pre3/appsessions/138144045 attempt 1
2018-11-20 00:21:33.135 [THREAD Threadpool worker] [INFO ] Illumina.BaseSpace.SDK.PrivateBaseSpaceClient      GET:v1pre3/appsessions/138144045 completed after 1 attempts and 104ms
2018-11-20 00:21:33.144 [THREAD Threadpool worker] [DEBUG] Illumina.SpaceDock.Core.BaseSpaceLogic             operation starting: getting resource attempt 1
2018-11-20 00:21:33.941 [THREAD Threadpool worker] [DEBUG] Illumina.SpaceDock.Core.BaseSpaceLogic             getting resource completed after 1 attempts and 797ms
2018-11-20 00:21:33.942 [THREAD Threadpool worker] [DEBUG] Illumina.SpaceDock.JobExecutorLogic                JobExecutor.UpdateJobStatus[use1-prod:138144045]: DOWNLOADING
2018-11-20 00:21:33.942 [THREAD Threadpool worker] [DEBUG] Illumina.SpaceDock.JobExecutorLogic                JobExecutor.UpdateJobStatus[use1-prod:138144045]: UpdateAppSession '138144045', with status '', with summary 'Downloading input data'
2018-11-20 00:21:33.943 [THREAD Threadpool worker] [DEBUG] Illumina.SpaceDock.Core.BaseSpaceLogic             Updating AppSession 'SPAdes Genome Assembler 25 kmer' (Id: 138144045) status summary to 'Downloading input data'
2018-11-20 00:21:33.943 [THREAD Threadpool worker] [DEBUG] Illumina.BaseSpace.SDK.PrivateBaseSpaceClient      POST:v1pre3/appsessions/138144045
2018-11-20 00:21:33.943 [THREAD Threadpool worker] [INFO ] Illumina.BaseSpace.SDK.PrivateBaseSpaceClient      Updating AppSession status to Running with status summary Downloading input data
2018-11-20 00:21:33.943 [THREAD Threadpool worker] [INFO ] Illumina.BaseSpace.SDK.PrivateBaseSpaceClient      operation starting: POST:v1pre3/appsessions/138144045 attempt 1
2018-11-20 00:21:34.004 [THREAD Threadpool worker] [INFO ] Illumina.BaseSpace.SDK.PrivateBaseSpaceClient      POST:v1pre3/appsessions/138144045 completed after 1 attempts and 61ms
2018-11-20 00:21:34.004 [THREAD Threadpool worker] [DEBUG] Illumina.BaseSpace.SDK.PrivateBaseSpaceClient      GET:v1pre3/appsessions/138144045
2018-11-20 00:21:34.005 [THREAD Threadpool worker] [INFO ] Illumina.BaseSpace.SDK.PrivateBaseSpaceClient      operation starting: GET:v1pre3/appsessions/138144045 attempt 1
2018-11-20 00:21:34.101 [THREAD Threadpool worker] [INFO ] Illumina.BaseSpace.SDK.PrivateBaseSpaceClient      GET:v1pre3/appsessions/138144045 completed after 1 attempts and 96ms
2018-11-20 00:21:34.103 [THREAD Threadpool worker] [DEBUG] Illumina.SpaceDock.JobExecutorLogic                Job Options:
2018-11-20 00:21:34.103 [THREAD Threadpool worker] [DEBUG] Illumina.SpaceDock.JobExecutorLogic                Job Option: LaunchMode=SpotThenOnDemand
2018-11-20 00:21:34.103 [THREAD Threadpool worker] [DEBUG] Illumina.SpaceDock.JobExecutorLogic                Job Option: bsfs.genomesjsonurl=https://s3.amazonaws.com/use1-prd-seq-hub-appdata/use1-genomes.json
2018-11-20 00:21:34.110 [THREAD Threadpool worker] [INFO ] Illumina.SpaceDock.JobExecutorLogic                Downloading input data
2018-11-20 00:21:34.111 [THREAD Threadpool worker] [DEBUG] Illumina.SpaceDock.Core.BaseSpaceLogic             Creating json file for sample 37372535
2018-11-20 00:21:34.112 [THREAD Threadpool worker] [DEBUG] Illumina.BaseSpace.SDK.PrivateBaseSpaceClient      GET:v1pre3/samples/37372535
2018-11-20 00:21:34.112 [THREAD Threadpool worker] [INFO ] Illumina.BaseSpace.SDK.PrivateBaseSpaceClient      operation starting: GET:v1pre3/samples/37372535 attempt 1
2018-11-20 00:21:34.167 [THREAD Threadpool worker] [INFO ] Illumina.BaseSpace.SDK.PrivateBaseSpaceClient      GET:v1pre3/samples/37372535 completed after 1 attempts and 54ms
2018-11-20 00:21:34.167 [THREAD Threadpool worker] [DEBUG] Illumina.SpaceDock.Core.BaseSpaceLogic             operation starting: getting resource attempt 1
2018-11-20 00:21:34.287 [THREAD Threadpool worker] [DEBUG] Illumina.SpaceDock.Core.BaseSpaceLogic             getting resource completed after 1 attempts and 120ms
2018-11-20 00:21:34.288 [THREAD Threadpool worker] [INFO ] Illumina.SpaceDock.JobExecutorLogic                Downloading Samples...
2018-11-20 00:21:34.293 [THREAD Threadpool worker] [DEBUG] Illumina.BaseSpace.SDK.PrivateBaseSpaceClient      GET:v1pre3/samples/37372535/files
2018-11-20 00:21:34.294 [THREAD Threadpool worker] [INFO ] Illumina.BaseSpace.SDK.PrivateBaseSpaceClient      operation starting: GET:v1pre3/samples/37372535/files attempt 1
2018-11-20 00:21:34.354 [THREAD Threadpool worker] [INFO ] Illumina.BaseSpace.SDK.PrivateBaseSpaceClient      GET:v1pre3/samples/37372535/files completed after 1 attempts and 60ms
